OBJECTID,DATASET_EN,DATASET_TC,NAME_EN,ADDRESS_EN,NAME_TC,ADDRESS_TC,NSEARCH01_EN,NSEARCH01_TC,NSEARCH02_EN,NSEARCH02_TC,NSEARCH03_EN,NSEARCH03_TC,NSEARCH04_EN,NSEARCH04_TC,NSEARCH05_EN,NSEARCH05_TC,NORTHING,EASTING,LATITUDE,LONGITUDE,LASTUPDATE,GeometryEasting,GeometryNorthing
28,Higher Education Institutions,高等教育院校,HKU SPACE Community College (United Learning Centre),"United Centre, 95 Queensway",香港大學附屬學院 (統一教學中心),金鐘道95號統一中心,,,,,,,,,,,815501,835071,22.2783733,114.16525969,2026-01-21T15:28:54,835071,815501
29,Higher Education Institutions,高等教育院校,HKU SPACE Community College (Kowloon East Campus),"Lee Shiu Building, 28 Wang Hoi Road, Kowloon Bay",香港大學附屬學院 (九龍東分校),九龍灣宏開道28號,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,820586,839780.9,22.32429108,114.21097165,2026-01-21T15:27:54,839780.9000000004,820586
30,Higher Education Institutions,高等教育院校,HKU SPACE Community College (Island South (Pokfulam) Campus),"3 Wah Lam Path, Pokfulam",香港大學附屬學院 (港島南分校),薄扶林華林徑3號,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,812612.20563757,832302.59090104,22.25228147,114.13840457,2026-01-21T15:26:59,832302.5909000002,812612.2056000009
31,Higher Education Institutions,高等教育院校,HKU SPACE Community College (Island East Campus),"494 King's Road, North Point",香港大學附屬學院 (港島東分校),北角英皇道494號,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,816931.7000000001,838838.4,22.29129221,114.20181758,2026-01-21T15:26:38,838838.4000000004,816931.6999999993
32,Higher Education Institutions,高等教育院校,HKU SPACE Community College (Fortress Tower Learning Centre),"Fortress Tower, 250 King's Road, North Point",香港大學附屬學院 (北角城教學中心),北角英皇道250號北角城中心,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,816659.9,838062.5,22.28883867,114.19428792,2026-01-21T15:26:19,838062.5,816659.9000000004
33,Higher Education Institutions,高等教育院校,HKU SPACE Community College (Admiralty Learning Centre ),"Admiralty Centre, 18 Harcourt Road, Admiralty",香港大學附屬學院 (金鐘教學中心),金鐘夏慤道18號海富中心,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,815598.6,835074.3,22.27925498,114.16529164,2026-01-21T15:26:02,835074.2999999998,815598.5999999996
34,Higher Education Institutions,高等教育院校,HKU School of Professional and Continuing Education (United Learning Centre),"6/F, United Centre, 95 Queensway, Admiralty",香港大學專業進修學院 (統一教學中心),金鐘道95號統一中心6樓,,,,,,,,,,,815501,835071,22.2783733,114.16525969,2026-01-21T15:25:20,835071,815501
35,Higher Education Institutions,高等教育院校,HKU School of Professional and Continuing Education (Admiralty Learning Centre),"2/F & 3/F, Admiralty Centre, 18 Harcourt Road, Admiralty",香港大學專業進修學院 (金鐘教學中心),金鐘夏愨道18號海富中心2樓及3樓,,,,,,,,,,,815608,835062,22.27933957,114.16517228,2026-01-21T15:25:04,835062,815608
36,Higher Education Institutions,高等教育院校,HKCT Institute of Higher Education (Mong Kok East Campus),"14 Princess Margaret Road, Ho Man Tin, Kowloon",港專學院 (旺角東校園),九龍何文田公主道14號,,,,,,,,,,,820070.19037396,836484.9802513,22.3196363,114.17898036,2026-01-21T15:24:25,836484.9802999999,820070.1904000007
37,Higher Education Institutions,高等教育院校,Gratia Christian College,"5 Wai Chi Street, Shek Kip Mei, Kowloon",宏恩基督教學院,石硤尾偉智街5號,,,,,,,,,,,821536,835376,22.33287321,114.1682158,2026-01-21T15:23:43,835376,821536
38,Higher Education Institutions,高等教育院校,Gratia Christian College,"1/F, 69 – 119 Broadway Street, Mei Foo Sun Chuen Phase 4, Kowloon",宏恩基督教學院,九龍美孚新邨第4期百老匯街69-119號1樓,,,,,,,,,,,821846.00351598,832607.0000506,22.33566906,114.14133669,2026-01-21T15:23:01,832607.0000999998,821846.0034999996
39,Higher Education Institutions,高等教育院校,Centennial College,"3 Wah Lam Path, Pokfulam",明德學院,薄扶林華林徑3號,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,812617.28153401,832285.42242773,22.25232727,114.138238,2026-01-21T15:22:37,832285.4223999996,812617.2815000005
40,Higher Education Institutions,高等教育院校,Caritas Institute of Community Education,"1/F, SUP Tower, 75 – 83 King’s Road, North Point",明愛社區書院,英皇道75至83號聯合出版大廈一樓,,,,,,,,,,,816366,837905,22.28618443,114.19275926,2026-01-21T15:22:09,837905,816366
41,Higher Education Institutions,高等教育院校,Caritas Institute of Community Education,"11 Caine Road, Central (Main Administration Office)",明愛社區書院,中環堅道11號 (總行政辦事處),,,,,,,,,,,815649,833941,22.27970868,114.15429493,2026-01-21T15:21:47,833941,815649
42,Higher Education Institutions,高等教育院校,HKCT Institute of Higher Education (Shek Mun Learning Centre),"15/F, Corporation Park, 11 On Lai Street, Shatin",港專學院 (石門教學中心),新界沙田安麗街11號企業中心15樓,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,827830.04165561,839413.47389747,22.38970919,114.20741957,2025-12-23T16:15:35,839413.4738999996,827830.0417
43,Higher Education Institutions,高等教育院校,The Education University of Hong Kong,"Units GF-04, GF-06 and GF-07, G/F, Xiqu Centre, 88 Austin Road West, Tsim Sha Tsui, Kowloon",香港教育大學,九龍尖沙咀柯士甸道西88號戲曲中心地下4、6及7號,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,818144.03697761,835271.54242727,22.3022417,114.16720395,2025-12-23T16:15:23,835271.5423999997,818144.0370000005
44,Higher Education Institutions,高等教育院校,HKU SPACE Community College (Kowloon East (Exchange) Learning Centre),"Exchange Tower, 33 Wang Chiu Road, Kowloon Bay, Kowloon",香港大學附屬學院 (九龍東Exchange教學中心),九龍九龍灣宏照道33號國際交易中心,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,820237.69495549,839616.21117169,22.32114572,114.20937239,2025-12-23T16:15:14,839616.2111999998,820237.6950000003
45,Higher Education Institutions,高等教育院校,HKU SPACE Community College (Sheung Shui Learning Centre),"SPOT, 48 Lung Sum Avenue, Sheung Shui, New Territories",香港大學附屬學院 (上水教學中心),新界上水龍琛路48號上水匯,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,840403.6342264,831247.55090303,22.50324994,114.12808193,2025-12-23T16:14:44,831247.5509000001,840403.6341999993
